Date,Category of Accident,Type of accident,Type of Train 1,Type of Train 2,Type of Train 3,Death,Injuries,Location of accident state,Cause & Location of accident place
4 June 2002,technical,Collision on an obstacle,Express,,,30,29,Uttar Pradesh,"The Kasganj level crossing disaster occurred when a KanpurKasganj Express collided with a bus near the town of Kasganj, Uttar Pradesh, killing 30 and injuring 29.[88]"
9 September 2002,non-technical,Sabotage,Express,,,140,150,Bihar,"The Rafiganj train wreck occurred when the Howrah Rajdhani Express derailed on a bridge between Gaya and Dehri-on-Sone stations, with two coaches falling into a river, killing over 140. Terrorist sabotage was blamed.[89]"
15 May 2003,non-technical,Fire,Mail,,,36,15,Punjab,"The Golden Temple Mail caught on fire in the early morning between Ludhiana and Ladhowal stations, killing 36 and injuring 15.[90]"
22 June 2003,technical,Derailment,Express,,,52,26,Maharashtra,"The engine and first four coaches of KarwarMumbai Central Holiday Special derailed, killing 52 and injuring 26.[91]"
2 July 2003,technical,Derailment,Express,,,21,24,Telangana,"The Golconda Express derailed at Warangal station, killing 21 and injuring 24.[92]"
16 June 2004,non-technical,Collision on an obstacle,Express,,,14,,Karnataka,"The Matsyagandha Express (MangaloreMumbai) derailed when it struck a boulder on the line, killing 14.[78]"
14 December 2004,technical,Collision,Express,Suburban Train,,37,50,Punjab,"The Jammu Tawi Express collided head-on with the DMU JalandharAmritsar passenger train about 10 km (6.2 mi) from Mukerian town, Hoshiarpur, Punjab, killing 37 passengers and injuring 50. The accident was allegedly caused due to a fault in the telephone line, which prevented proper signal warnings.[78]"
28 July 2005,non-technical,Serial Blast,Express,,,13,50,Uttar Pradesh,"The 2005 Jaunpur train bombing occurred when a bomb destroyed a carriage of the Shramjeevi Express near Jaunpur, Uttar Pradesh, killing 13 and injuring 50.[93]"
3 October 2005,technical,Derailment,Express,,,16,100,Madhya Pradesh,"The Datia rail accident occurred when the Bundelkhand Express, travelling at excessive speed, overshot a sharp turn and derailed near Datia, killing 16 and injuring more than 100.[94]"
25 October 2005,technical,Derailment,Express,,,,,Karnataka,The Island Express had several coaches derail near Kamasamudram on the BangaloreJolarpettai section.[citation needed]
29 October 2005,non-technical,Tropical Cyclone derailment,Passenger,,,114,200,Andhra Pradesh,"The Valigonda train wreck occurred when the Delta Fast Passenger train derailed where a small rail bridge had been swept away by a flash flood, near the town of Valigonda, Andhra Pradesh, killing at least 114 and injuring over 200.[95]"
11 July 2006,non-technical,Serial Blast,Express,,,200,700,Maharashtra,"The 2006 Mumbai train bombings were a series of coordinated bomb attacks on commuter trains in Mumbai, killing at least 200 and injuring over 700.[96]"
20 November 2006,non-technical,Serial Blast,Express,,,7,53,West Bengal,"The 2006 West Bengal train explosion on a train near Belacoba station in West Bengal, suspected to be a terrorist bombing, resulted in seven killed and 53 injured.[97]"
1 December 2006,non-technical,Collision on an obstacle,Superfast Express,,,35,17,Bihar,"The 150-year-old 'Ulta Pul' bridge in Bihar was being dismantled when a portion collapsed onto a passing Eastern Railways train, the HowrahJamalpur Super fast express (13071 up), killing 35 and injuring 17.[98][99]"
18 February 2007,non-technical,Sabotage,Express,,,68,,Punjab,"The DelhiLahore Samjhauta Express was attacked by terrorists, causing 68 deaths.[100]"
7 August 2007,technical,Derailment,Express,,,,32,Uttar Pradesh,"32 passengers were injured when the JodhpurHowrah Express derailed near Juhi Bridge, Kanpur."
1 August 2008,non-technical,Fire,Express,,,40,,Andhra Pradesh,"The Gowthami Express caught fire while crossing Kesamudram station in Andhra Pradesh, killing 40. The fire was supposedly caused by an electrical short circuit.[101]"
13 February 2009,non-technical,Fire,Express,,,,,Odisha,Several carriages of the Coromandel Express caught fire after leaving Jajpur Road station in Orissa.[102]
29 April 2009,non-technical,Sabotage,Passenger,,,4,,Tamil Nadu,"An Electric Multiple Unit of Southern Railways collided with empty oil tanker of a goods train at Vyasarpadi Jeeva station following a hijack, killing 4.[103]"
20 October 2009,technical,Collision,Express,Express,,21,,Uttar Pradesh,"The Mathura train collision occurred when the Goa Express collided with the rear carriage of the stationary Mewar Express outside Mathura, Uttar Pradesh, killing 21 and injuring several others. An investigation determined there was a faulty signal."
